"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1494","Hootel Login","test","Sat Nov 23 13:01:48 GMT 2024","passed","Sat Nov 23 13:01:49 GMT 2024","TestHootel","test_hootel","",""
"","1084","test_hotel_list","test","Sat Nov 23 13:01:51 GMT 2024","passed","Sat Nov 23 13:01:52 GMT 2024","TestHootel","test_hootel","",""
