"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_hotel_list","test","Sat Nov 23 12:59:12 GMT 2024","broken","Sat Nov 23 12:59:12 GMT 2024","TestHootel","test_hootel","",""
"A belépés tesztelése","0","Hootel Login","test","Sat Nov 23 12:59:10 GMT 2024","broken","Sat Nov 23 12:59:10 GMT 2024","TestHootel","test_hootel","",""
