"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1089","test_hotel_list","test","Mon Feb 24 17:28:31 GMT 2025","passed","Mon Feb 24 17:28:32 GMT 2025","TestHootel","test_hootel","",""
"A belépés tesztelése","1339","Hootel Login","test","Mon Feb 24 17:28:28 GMT 2025","passed","Mon Feb 24 17:28:29 GMT 2025","TestHootel","test_hootel","",""
